,Month of absence,Day of the week,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Son,Pet,Body mass index,Absenteeism time in hours,Reason for absence_0,Reason for absence_1,Reason for absence_2,Seasons_1,Seasons_2,Seasons_3,Seasons_4
48,9,6,260,50,11,36,241.476,92,0,4,0,23,8,0,0,1,1,0,0,0
50,9,2,260,50,11,36,241.476,92,1,4,0,23,0,1,0,0,0,0,0,1
51,9,2,225,26,9,28,241.476,92,1,1,2,24,0,1,0,0,0,0,0,1
52,9,3,225,26,9,28,241.476,92,0,1,2,24,2,0,0,1,0,0,0,1
53,9,3,118,10,10,37,241.476,92,0,0,0,28,2,0,0,1,0,0,0,1
54,9,3,289,36,13,33,241.476,92,1,2,1,30,0,1,0,0,0,0,0,1
55,9,3,118,13,18,50,241.476,92,1,1,0,31,0,1,0,0,0,0,0,1
56,9,4,225,26,9,28,241.476,92,0,1,2,24,3,0,1,0,0,0,0,1
57,9,4,179,51,18,38,241.476,92,0,0,0,31,3,0,0,1,0,0,0,1
58,9,4,369,17,12,31,241.476,92,1,3,0,25,0,1,0,0,0,0,0,1
59,9,6,248,25,14,47,241.476,92,0,2,1,32,1,0,0,1,0,0,0,1
60,9,6,179,51,18,38,241.476,92,0,0,0,31,3,0,0,1,0,0,0,1
61,9,6,260,50,11,36,241.476,92,0,4,0,23,4,0,0,1,0,0,0,1
62,10,3,179,51,18,38,253.465,93,0,0,0,31,3,0,0,1,0,0,0,1
63,10,3,118,10,10,37,253.465,93,0,0,0,28,3,0,0,1,0,0,0,1
64,10,4,118,13,18,50,253.465,93,1,1,0,31,0,1,0,0,0,0,0,1
65,10,5,179,26,9,30,253.465,93,0,0,0,19,1,0,0,1,0,0,0,1
66,10,6,179,51,18,38,253.465,93,0,0,0,31,3,0,0,1,0,0,0,1
67,10,6,225,26,9,28,253.465,93,0,1,2,24,3,0,0,1,0,0,0,1
68,10,3,118,10,10,37,253.465,93,0,0,0,28,3,0,0,1,0,0,0,1
69,10,4,225,26,9,28,253.465,93,0,1,2,24,2,0,0,1,0,0,0,1
70,10,4,248,25,14,47,253.465,93,0,2,1,32,2,0,0,1,0,0,0,1
71,10,5,291,31,12,40,253.465,93,0,1,1,25,5,0,0,1,0,0,0,1
72,10,4,179,51,18,38,253.465,93,0,0,0,31,8,0,0,1,0,0,0,1
73,10,4,225,26,9,28,253.465,93,0,1,2,24,3,0,0,1,0,0,0,1
74,10,5,260,50,11,36,253.465,93,0,4,0,23,16,0,1,0,0,0,0,1
75,10,3,291,31,12,40,253.465,93,0,1,1,25,8,0,1,0,0,0,0,1
76,10,3,225,26,9,28,253.465,93,0,1,2,24,2,0,0,1,0,0,0,1
77,10,4,289,36,13,33,253.465,93,0,2,1,30,8,0,0,1,0,0,0,1
78,10,6,361,52,3,28,253.465,93,0,1,4,27,1,0,0,1,0,0,0,1
79,10,6,260,50,11,36,253.465,93,0,4,0,23,3,0,0,1,0,0,0,1
80,11,5,179,51,18,38,306.345,93,0,0,0,31,1,0,0,1,0,0,0,1
81,11,4,225,26,9,28,306.345,93,0,1,2,24,1,0,0,1,0,0,0,1
82,11,5,179,51,18,38,306.345,93,0,0,0,31,8,0,1,0,0,0,0,1
83,11,5,179,22,17,40,306.345,93,0,2,0,22,8,0,1,0,0,0,0,1
84,11,5,291,31,12,40,306.345,93,0,1,1,25,5,0,0,1,0,0,0,1
86,11,2,189,29,13,33,306.345,93,0,2,2,25,8,0,0,1,0,0,0,1
88,11,4,225,26,9,28,306.345,93,0,1,2,24,1,0,0,1,0,0,0,1
89,11,6,155,12,14,34,306.345,93,0,2,0,25,8,0,1,0,0,0,0,1
90,11,4,225,26,9,28,306.345,93,0,1,2,24,3,0,0,1,0,0,0,1
91,11,4,179,22,17,40,306.345,93,0,2,0,22,8,0,1,0,0,0,0,1
92,11,6,225,26,9,28,306.345,93,0,1,2,24,3,0,1,0,0,0,0,1
93,11,6,260,50,11,36,306.345,93,0,4,0,23,4,0,0,1,0,0,0,1
94,11,2,248,25,14,47,306.345,93,0,2,1,32,1,0,0,1,0,0,0,1
95,11,3,225,26,9,28,306.345,93,0,1,2,24,3,0,0,1,0,0,0,1
96,11,4,289,36,13,33,306.345,93,0,2,1,30,24,0,1,0,0,0,0,1
97,11,5,291,31,12,40,306.345,93,0,1,1,25,3,0,0,1,0,0,0,1
98,12,3,248,25,14,47,261.306,97,0,2,1,32,1,0,0,1,0,0,0,1
100,12,4,118,13,18,50,261.306,97,0,1,0,31,2,0,0,1,0,0,0,1
101,12,4,235,11,14,37,261.306,97,0,1,1,29,8,0,0,1,0,0,0,1
102,12,5,225,26,9,28,261.306,97,0,1,2,24,2,0,0,1,0,0,0,1
103,12,6,260,50,11,36,261.306,97,0,4,0,23,8,0,0,1,0,0,0,1
105,12,4,361,52,3,28,261.306,97,0,1,4,27,8,0,0,1,0,0,0,1
106,12,5,225,26,9,28,261.306,97,0,1,2,24,3,0,0,1,0,0,0,1
107,12,6,260,50,11,36,261.306,97,0,4,0,23,3,0,0,1,0,0,0,1
108,12,3,225,26,9,28,261.306,97,0,1,2,24,2,0,0,1,0,0,0,1
109,12,4,361,52,3,28,261.306,97,0,1,4,27,8,0,0,1,0,0,0,1
110,12,6,118,10,10,37,261.306,97,0,0,0,28,2,0,0,1,0,0,0,1
111,12,6,246,25,16,41,261.306,97,0,0,0,23,8,0,1,0,0,1,0,0
112,12,6,225,26,9,28,261.306,97,0,1,2,24,2,0,0,1,0,1,0,0
113,1,4,225,26,9,28,308.593,95,0,1,2,24,1,0,0,1,0,1,0,0
114,1,2,118,10,10,37,308.593,95,0,0,0,28,1,0,1,0,0,1,0,0
115,1,3,118,10,10,37,308.593,95,0,0,0,28,1,0,0,1,0,1,0,0
116,1,3,155,12,14,34,308.593,95,0,2,0,25,8,0,1,0,0,1,0,0
117,1,4,225,26,9,28,308.593,95,0,1,2,24,2,0,0,1,0,1,0,0
118,1,5,184,42,7,27,308.593,95,0,0,0,21,2,0,0,1,0,1,0,0
119,1,5,225,26,9,28,308.593,95,0,1,2,24,2,0,0,1,0,1,0,0
120,1,6,225,26,9,28,308.593,95,0,1,2,24,1,0,0,1,0,1,0,0
121,1,2,118,10,10,37,308.593,95,0,0,0,28,2,0,0,1,0,1,0,0
122,1,3,225,26,9,28,308.593,95,0,1,2,24,2,0,0,1,0,1,0,0
123,1,3,118,10,10,37,308.593,95,0,0,0,28,2,0,0,1,0,1,0,0
124,1,4,118,10,10,37,308.593,95,0,0,0,28,2,0,0,1,0,1,0,0
125,1,5,118,10,10,37,308.593,95,0,0,0,28,2,0,0,1,0,1,0,0
126,1,6,118,10,10,37,308.593,95,0,0,0,28,2,0,0,1,0,1,0,0
127,1,2,118,10,10,37,308.593,95,0,0,0,28,2,0,0,1,0,1,0,0
128,1,3,118,10,10,37,308.593,95,0,0,0,28,2,0,0,1,0,1,0,0
129,1,3,179,26,9,30,308.593,95,0,0,0,19,8,0,1,0,0,1,0,0
130,1,3,289,36,13,33,308.593,95,0,2,1,30,8,0,1,0,0,1,0,0
131,1,4,118,10,10,37,308.593,95,0,0,0,28,2,0,0,1,0,1,0,0
132,1,5,184,42,7,27,308.593,95,0,0,0,21,2,0,0,1,0,1,0,0
133,1,5,118,10,10,37,308.593,95,0,0,0,28,2,0,0,1,0,1,0,0
134,1,2,118,10,10,37,308.593,95,0,0,0,28,0,0,0,1,0,1,0,0
135,1,3,225,26,9,28,308.593,95,0,1,2,24,1,0,0,1,0,1,0,0
136,1,5,289,36,13,33,308.593,95,0,2,1,30,3,0,0,1,0,1,0,0
137,2,6,184,42,7,27,302.585,99,0,0,0,21,1,0,0,1,0,1,0,0
138,2,4,246,25,16,41,302.585,99,0,0,0,23,8,0,1,0,0,1,0,0
139,2,4,179,51,18,38,302.585,99,0,0,0,31,8,0,1,0,0,1,0,0
140,2,5,155,12,14,34,302.585,99,0,2,0,25,2,0,0,1,0,1,0,0
141,2,5,189,29,13,33,302.585,99,0,2,2,25,8,0,0,1,0,1,0,0
142,2,6,260,50,11,36,302.585,99,0,4,0,23,2,0,0,1,0,1,0,0
143,2,6,289,36,13,33,302.585,99,0,2,1,30,8,0,0,1,0,1,0,0
144,2,2,388,15,9,50,302.585,99,0,0,0,24,8,0,1,0,0,1,0,0
145,2,3,388,15,9,50,302.585,99,0,0,0,24,8,0,1,0,0,1,0,0
146,2,2,225,26,9,28,302.585,99,0,1,2,24,2,0,0,1,0,1,0,0
147,2,3,225,26,9,28,302.585,99,0,1,2,24,2,0,0,1,0,1,0,0
148,2,3,179,26,9,30,302.585,99,0,0,0,19,1,0,0,1,0,1,0,0
149,2,3,184,42,7,27,302.585,99,0,0,0,21,8,0,0,1,0,1,0,0
150,2,5,225,26,9,28,302.585,99,0,1,2,24,3,0,0,1,0,1,0,0
151,2,2,330,16,4,28,302.585,99,0,0,0,25,8,0,1,0,0,1,0,0
152,2,3,330,16,4,28,302.585,99,0,0,0,25,1,0,0,1,0,1,0,0
153,2,4,225,26,9,28,302.585,99,0,1,2,24,1,0,0,1,0,1,0,0
154,2,5,189,29,13,33,302.585,99,0,2,2,25,8,0,1,0,0,1,0,0
155,3,3,291,50,12,32,343.25300000000004,95,0,0,0,23,2,0,0,1,0,1,0,0
156,3,3,260,50,11,36,343.25300000000004,95,0,4,0,23,8,0,1,0,0,1,0,0
157,3,3,157,27,6,29,343.25300000000004,95,0,0,0,22,3,0,1,0,0,1,0,0
158,3,3,179,22,17,40,343.25300000000004,95,0,2,0,22,8,0,1,0,0,1,0,0
159,3,4,291,31,12,40,343.25300000000004,95,0,1,1,25,8,0,0,1,0,1,0,0
160,3,4,260,50,11,36,343.25300000000004,95,0,4,0,23,8,0,1,0,0,1,0,0
161,3,5,179,26,9,30,343.25300000000004,95,0,0,0,19,8,0,1,0,0,1,0,0
162,3,6,248,25,14,47,343.25300000000004,95,0,2,1,32,3,0,1,0,0,1,0,0
165,3,2,155,12,14,34,343.25300000000004,95,0,2,0,25,16,0,1,0,0,1,0,0
166,3,2,260,50,11,36,343.25300000000004,95,0,4,0,23,16,0,0,1,0,1,0,0
167,3,3,155,12,14,34,343.25300000000004,95,0,2,0,25,8,0,1,0,0,1,0,0
168,3,5,289,36,13,33,343.25300000000004,95,0,2,1,30,8,0,1,0,0,1,0,0
169,3,5,179,22,17,40,343.25300000000004,95,0,2,0,22,8,0,1,0,0,1,0,0
170,3,6,260,50,11,36,343.25300000000004,95,0,4,0,23,4,0,0,1,0,1,0,0
171,3,6,225,26,9,28,343.25300000000004,95,0,1,2,24,1,0,0,1,0,1,0,0
172,3,2,279,5,14,39,343.25300000000004,95,0,2,0,24,8,0,1,0,0,1,0,0
173,3,3,179,51,18,38,343.25300000000004,95,0,0,0,31,24,0,1,0,0,1,0,0
174,3,4,225,26,9,28,343.25300000000004,95,0,1,2,24,2,0,0,1,0,1,0,0
175,3,2,225,26,9,28,343.25300000000004,95,0,1,2,24,8,0,1,0,0,0,1,0
176,3,2,179,26,9,30,343.25300000000004,95,0,0,0,19,1,0,1,0,0,0,1,0
177,3,3,225,26,9,28,343.25300000000004,95,0,1,2,24,8,0,1,0,0,0,1,0
178,3,4,225,26,9,28,343.25300000000004,95,0,1,2,24,16,0,1,0,0,0,1,0
179,3,4,179,51,18,38,343.25300000000004,95,0,0,0,31,3,0,1,0,0,0,1,0
180,3,5,279,5,14,39,343.25300000000004,95,0,2,0,24,16,0,1,0,0,0,1,0
181,3,6,225,26,9,28,343.25300000000004,95,0,1,2,24,2,0,0,1,0,0,1,0
182,3,6,248,25,14,47,343.25300000000004,95,0,2,1,32,3,0,1,0,0,0,1,0
183,3,2,225,26,9,28,343.25300000000004,95,0,1,2,24,1,0,0,1,0,0,1,0
184,4,4,291,31,12,40,326.452,96,0,1,1,25,1,0,0,1,0,0,1,0
185,4,4,225,26,9,28,326.452,96,0,1,2,24,1,0,0,1,0,0,1,0
186,4,3,155,12,14,34,326.452,96,0,2,0,25,1,0,0,1,0,0,1,0
187,4,4,246,25,16,41,326.452,96,0,0,0,23,24,0,1,0,0,0,1,0
188,4,5,155,12,14,34,326.452,96,0,2,0,25,1,0,0,1,0,0,1,0
189,4,6,225,26,9,28,326.452,96,0,1,2,24,2,0,0,1,0,0,1,0
190,4,6,260,50,11,36,326.452,96,0,4,0,23,4,0,0,1,0,0,1,0
191,4,4,179,51,18,38,326.452,96,0,0,0,31,24,0,1,0,0,0,1,0
192,4,5,118,13,18,50,326.452,96,0,1,0,31,1,0,0,1,0,0,1,0
193,4,6,291,31,12,40,326.452,96,0,1,1,25,3,0,0,1,0,0,1,0
194,4,6,246,25,16,41,326.452,96,0,0,0,23,8,0,1,0,0,0,1,0
195,4,6,291,31,12,40,326.452,96,0,1,1,25,1,0,0,1,0,0,1,0
196,4,6,248,25,14,47,326.452,96,0,2,1,32,8,0,0,1,0,0,1,0
198,4,3,289,36,13,33,326.452,96,0,2,1,30,8,0,1,0,0,0,1,0
199,4,4,155,12,14,34,326.452,96,0,2,0,25,24,0,1,0,0,0,1,0
200,4,4,378,49,11,36,326.452,96,0,2,4,21,8,0,1,0,0,0,1,0
201,4,5,289,36,13,33,326.452,96,0,2,1,30,16,0,1,0,0,0,1,0
202,4,6,235,11,14,37,326.452,96,0,1,1,29,3,0,1,0,0,0,1,0
203,4,2,235,29,12,48,326.452,96,1,1,5,33,0,1,0,0,0,0,1,0
204,5,4,289,36,13,33,378.884,92,0,2,1,30,8,0,1,0,0,0,1,0
205,5,5,155,12,14,34,378.884,92,0,2,0,25,2,0,0,1,0,0,1,0
206,5,2,155,12,14,34,378.884,92,0,2,0,25,1,0,0,1,0,0,1,0
207,5,3,179,51,18,38,378.884,92,0,0,0,31,8,0,1,0,0,0,1,0
208,5,3,225,26,9,28,378.884,92,0,1,2,24,8,0,1,0,0,0,1,0
209,5,4,184,42,7,27,378.884,92,0,0,0,21,4,0,1,0,0,0,1,0
210,5,2,155,12,14,34,378.884,92,0,2,0,25,2,0,0,1,0,0,1,0
211,5,3,179,51,18,38,378.884,92,0,0,0,31,1,0,1,0,0,0,1,0
212,5,4,289,36,13,33,378.884,92,0,2,1,30,24,0,1,0,0,0,1,0
213,5,4,279,5,14,39,378.884,92,1,2,0,24,0,1,0,0,0,0,1,0
214,5,4,330,16,4,28,378.884,92,1,0,0,25,0,1,0,0,0,0,1,0
215,5,4,378,49,11,36,378.884,92,1,2,4,21,0,1,0,0,0,0,1,0
216,5,4,388,15,9,50,378.884,92,1,0,0,24,0,1,0,0,0,0,1,0
217,5,3,179,51,18,38,378.884,92,0,0,0,31,1,0,1,0,0,0,1,0
218,5,4,118,13,18,50,378.884,92,0,1,0,31,24,0,1,0,0,0,1,0
219,5,6,361,52,3,28,378.884,92,0,1,4,27,8,0,0,1,0,0,1,0
220,6,2,246,25,16,41,377.55,94,0,0,0,23,8,0,1,0,0,0,1,0
221,6,2,361,52,3,28,377.55,94,0,1,4,27,8,0,0,1,0,0,1,0
222,6,3,246,25,16,41,377.55,94,0,0,0,23,24,0,1,0,0,0,1,0
223,6,5,291,31,12,40,377.55,94,0,1,1,25,4,0,0,1,0,0,1,0
224,6,6,246,25,16,41,377.55,94,0,0,0,23,8,0,1,0,0,0,1,0
225,6,2,179,51,18,38,377.55,94,0,0,0,31,8,0,1,0,0,0,1,0
226,6,2,155,12,14,34,377.55,94,0,2,0,25,4,0,0,1,0,0,1,0
227,6,2,246,25,16,41,377.55,94,0,0,0,23,8,0,1,0,0,0,1,0
228,6,4,118,13,18,50,377.55,94,0,1,0,31,8,0,1,0,0,0,1,0
229,6,6,235,11,14,37,377.55,94,0,1,1,29,16,0,1,0,0,0,1,0
230,6,3,118,13,18,50,377.55,94,0,1,0,31,1,0,0,1,0,0,1,0
232,6,5,378,49,11,36,377.55,94,0,2,4,21,8,0,0,1,0,0,1,0
233,6,6,179,51,18,38,377.55,94,0,0,0,31,2,0,1,0,0,0,1,0
234,6,2,289,48,29,49,377.55,94,0,0,2,36,2,0,0,1,1,0,0,0
235,6,5,225,26,9,28,377.55,94,0,1,2,24,2,0,0,1,1,0,0,0
236,7,3,155,12,14,34,275.312,98,0,2,0,25,16,0,1,0,1,0,0,0
237,7,4,118,13,18,50,275.312,98,0,1,0,31,8,0,1,0,1,0,0,0
238,7,6,118,10,10,37,275.312,98,0,0,0,28,8,0,1,0,1,0,0,0
239,7,6,118,10,10,37,275.312,98,0,0,0,28,4,0,0,1,1,0,0,0
240,7,3,330,16,4,28,275.312,98,0,0,0,25,8,0,0,1,1,0,0,0
241,7,5,179,26,9,30,275.312,98,0,0,0,19,8,0,1,0,1,0,0,0
242,7,6,155,12,14,34,275.312,98,0,2,0,25,2,0,0,1,1,0,0,0
243,7,2,330,16,4,28,275.312,98,0,0,0,25,8,0,1,0,1,0,0,0
244,7,3,330,16,4,28,275.312,98,0,0,0,25,8,0,1,0,1,0,0,0
245,7,2,157,27,6,29,275.312,98,0,0,0,22,3,0,0,1,1,0,0,0
246,7,3,361,52,3,28,275.312,98,0,1,4,27,8,0,0,1,1,0,0,0
247,7,4,289,36,13,33,275.312,98,0,2,1,30,8,0,0,1,1,0,0,0
248,7,5,179,51,18,38,275.312,98,0,0,0,31,8,0,0,1,1,0,0,0
250,7,5,289,36,13,33,275.312,98,0,2,1,30,8,0,1,0,1,0,0,0
251,7,5,260,50,11,36,275.312,98,1,4,0,23,0,1,0,0,1,0,0,0
252,8,6,289,36,13,33,265.615,94,0,2,1,30,8,0,1,0,1,0,0,0
253,8,6,157,27,6,29,265.615,94,0,0,0,22,3,0,1,0,1,0,0,0
254,8,2,289,36,13,33,265.615,94,0,2,1,30,1,0,0,1,1,0,0,0
255,8,3,228,14,16,58,265.615,94,0,2,1,22,8,0,1,0,1,0,0,0
256,8,5,300,26,13,43,265.615,94,0,2,1,25,1,0,1,0,1,0,0,0
257,8,5,300,26,13,43,265.615,94,0,2,1,25,2,0,1,0,1,0,0,0
258,8,6,260,50,11,36,265.615,94,0,4,0,23,4,0,0,1,1,0,0,0
259,8,3,289,36,13,33,265.615,94,0,2,1,30,4,0,0,1,1,0,0,0
260,8,4,248,25,14,47,265.615,94,0,2,1,32,1,0,0,1,1,0,0,0
261,8,5,268,11,8,33,265.615,94,0,0,0,25,8,0,1,0,1,0,0,0
262,8,5,179,26,9,30,265.615,94,0,0,0,19,1,0,0,1,1,0,0,0
263,8,5,118,13,18,50,265.615,94,0,1,0,31,3,0,1,0,1,0,0,0
264,8,2,248,25,14,47,265.615,94,0,2,1,32,2,0,0,1,1,0,0,0
265,8,3,235,11,14,37,265.615,94,0,1,1,29,1,0,0,1,1,0,0,0
266,8,5,118,13,18,50,265.615,94,0,1,0,31,1,0,0,1,1,0,0,0
267,8,5,235,11,14,37,265.615,94,0,1,1,29,8,0,1,0,1,0,0,0
268,8,3,361,52,3,28,265.615,94,0,1,4,27,8,0,1,0,1,0,0,0
269,8,4,184,42,7,27,265.615,94,0,0,0,21,8,0,1,0,1,0,0,0
270,9,2,179,51,18,38,294.217,81,0,0,0,31,8,0,1,0,1,0,0,0
271,9,6,179,51,18,38,294.217,81,0,0,0,31,3,0,0,1,1,0,0,0
272,9,4,289,36,13,33,294.217,81,0,2,1,30,24,0,1,0,1,0,0,0
273,9,5,235,20,13,43,294.217,81,1,1,0,38,0,1,0,0,1,0,0,0
274,9,2,246,25,16,41,294.217,81,0,0,0,23,16,0,1,0,1,0,0,0
275,9,3,291,31,12,40,294.217,81,0,1,1,25,3,0,0,1,1,0,0,0
276,9,3,231,35,14,39,294.217,81,1,2,2,35,0,1,0,0,1,0,0,0
277,9,3,291,50,12,32,294.217,81,1,0,0,23,0,1,0,0,1,0,0,0
278,9,4,179,51,18,38,294.217,81,0,0,0,31,8,0,1,0,1,0,0,0
280,9,5,179,51,18,38,294.217,81,0,0,0,31,1,0,0,1,1,0,0,0
281,9,6,291,31,12,40,294.217,81,0,1,1,25,4,0,0,1,1,0,0,0
282,9,6,260,50,11,36,294.217,81,0,4,0,23,4,0,0,1,1,0,0,0
283,9,4,235,20,13,43,294.217,81,0,1,0,38,8,0,0,1,0,0,0,1
284,9,5,118,13,18,50,294.217,81,0,1,0,31,1,0,0,1,0,0,0,1
285,9,5,235,20,13,43,294.217,81,1,1,0,38,0,1,0,0,0,0,0,1
286,9,6,291,31,12,40,294.217,81,0,1,1,25,3,0,0,1,0,0,0,1
288,9,2,179,51,18,38,294.217,81,0,0,0,31,8,0,1,0,0,0,0,1
289,10,2,289,36,13,33,265.017,88,0,2,1,30,8,0,0,1,0,0,0,1
290,10,2,235,11,14,37,265.017,88,0,1,1,29,4,0,0,1,0,0,0,1
291,10,2,289,36,13,33,265.017,88,0,2,1,30,8,0,0,1,0,0,0,1
292,10,6,289,36,13,33,265.017,88,0,2,1,30,8,0,0,1,0,0,0,1
293,10,6,118,13,18,50,265.017,88,1,1,0,31,0,1,0,0,0,0,0,1
294,10,6,248,25,14,47,265.017,88,1,2,1,32,0,1,0,0,0,0,0,1
295,10,2,179,26,9,30,265.017,88,0,0,0,19,8,0,1,0,0,0,0,1
296,10,2,118,10,10,37,265.017,88,0,0,0,28,3,0,1,0,0,0,0,1
297,10,2,369,17,12,31,265.017,88,0,3,0,25,8,0,0,1,0,0,0,1
298,10,4,179,51,18,38,265.017,88,0,0,0,31,1,0,0,1,0,0,0,1
300,10,4,235,20,13,43,265.017,88,1,1,0,38,0,1,0,0,0,0,0,1
301,10,5,289,36,13,33,265.017,88,0,2,1,30,16,0,1,0,0,0,0,1
302,10,6,260,50,11,36,265.017,88,0,4,0,23,3,0,0,1,0,0,0,1
303,10,6,235,20,13,43,265.017,88,1,1,0,38,0,1,0,0,0,0,0,1
304,10,2,235,20,13,43,265.017,88,0,1,0,38,2,0,0,1,0,0,0,1
305,10,2,235,20,13,43,265.017,88,0,1,0,38,2,0,0,1,0,0,0,1
306,10,3,118,13,18,50,265.017,88,0,1,0,31,1,0,0,1,0,0,0,1
307,10,3,291,31,12,40,265.017,88,0,1,1,25,4,0,0,1,0,0,0,1
308,10,5,179,26,9,30,265.017,88,0,0,0,19,16,0,0,1,0,0,0,1
309,10,5,118,13,18,50,265.017,88,0,1,0,31,1,0,0,1,0,0,0,1
310,10,2,361,52,3,28,265.017,88,0,1,4,27,8,0,1,0,0,0,0,1
311,10,3,260,50,11,36,265.017,88,1,4,0,23,0,1,0,0,0,0,0,1
312,10,3,291,31,12,40,265.017,88,1,1,1,25,0,1,0,0,0,0,0,1
313,10,3,157,27,6,29,265.017,88,1,0,0,22,0,1,0,0,0,0,0,1
314,10,4,179,26,9,30,265.017,88,0,0,0,19,5,0,1,0,0,0,0,1
315,10,4,179,26,9,30,265.017,88,0,0,0,19,5,0,1,0,0,0,0,1
316,10,5,118,13,18,50,265.017,88,0,1,0,31,1,0,0,1,0,0,0,1
317,11,2,118,10,10,37,284.031,97,0,0,0,28,8,0,1,0,0,0,0,1
318,11,2,248,25,14,47,284.031,97,0,2,1,32,2,0,0,1,0,0,0,1
319,11,3,179,51,18,38,284.031,97,0,0,0,31,8,0,1,0,0,0,0,1
320,11,6,260,50,11,36,284.031,97,0,4,0,23,3,0,0,1,0,0,0,1
321,11,2,291,31,12,40,284.031,97,0,1,1,25,1,0,0,1,0,0,0,1
322,11,2,378,49,11,36,284.031,97,0,2,4,21,8,0,1,0,0,0,0,1
324,11,2,235,20,13,43,284.031,97,0,1,0,38,8,0,0,1,0,0,0,1
